6,200,2,,,,,,,,,,,
,,,,,,,,,,,,,
Sample,Population,Olur10,Olur10,Olur11,Olur11,Olur12,Olur12,Olur13,Olur13,Olur15,Olur15,Olur19,Olur19
42-H,NFH-2016,274,276,162,162,266,268,269,277,189,197,241,249
43-H,NFH-2016,214,282,144,162,260,272,281,301,201,221,253,273
44-H,NFH-2016,222,240,140,162,262,268,281,289,201,209,253,261
45-H,NFH-2016,238,286,144,162,254,266,241,277,161,197,213,249
46-H,NFH-2016,234,234,162,162,178,178,245,277,165,197,217,249
47-H,NFH-2016,238,280,140,162,178,284,277,285,197,205,249,257
48-H,NFH-2016,214,214,162,164,178,254,265,285,185,205,237,257
49-H,NFH-2016,274,304,140,140,254,268,261,281,181,201,233,253
50-H,NFH-2016,246,252,162,162,178,272,253,281,175,201,225,253
51-H,NFH-2016,214,238,144,164,254,272,273,285,193,205,245,257
52-H,NFH-2016,240,310,140,162,178,260,277,293,197,213,249,265
53-H,NFH-2016,232,274,144,144,266,266,261,273,181,193,233,245
54-H,NFH-2016,250,288,140,144,178,256,249,281,169,201,221,253
55-H,NFH-2016,280,282,162,162,178,240,277,289,197,209,249,261
56-H,NFH-2016,214,238,140,144,178,266,0,0,205,205,257,257
57-H,NFH-2016,228,276,140,171,178,268,257,261,177,181,229,233
58-H,NFH-2016,214,274,144,162,182,256,237,237,0,0,209,209
59-H,NFH-2016,232,240,0,0,250,268,257,293,177,213,0,0
60-H,NFH-2016,238,304,162,162,254,268,261,277,181,197,233,249
61-H,NFH-2016,214,256,140,144,250,268,249,285,169,205,221,257
62-H,NFH-2016,214,288,144,162,178,260,257,261,177,181,229,233
63-H,NFH-2016,216,240,162,174,254,256,281,293,201,213,253,265
64-H,NFH-2016,294,304,162,162,266,268,281,281,201,201,253,253
65-H,NFH-2016,238,292,140,162,256,266,237,273,157,193,209,245
66-H,NFH-2016,214,268,162,162,250,268,249,285,169,205,221,257
67-H,NFH-2016,280,288,144,162,254,254,257,273,177,193,229,245
68-H,NFH-2016,214,288,144,152,178,268,241,277,161,197,213,249
69-H,NFH-2016,0,0,162,162,178,256,265,273,185,193,237,245
70-H,NFH-2016,202,280,162,162,178,262,257,277,177,197,229,249
71-H,NFH-2016,250,282,144,156,260,266,245,277,165,197,217,249
72-H,NFH-2016,246,282,144,144,178,266,261,293,181,213,233,265
73-H,NFH-2016,240,288,140,140,248,266,245,273,165,193,217,245
74-H,NFH-2016,246,294,152,162,178,268,249,281,169,201,221,253
75-H,NFH-2016,240,298,162,162,254,268,273,301,193,221,245,273
76-H,NFH-2016,252,274,158,162,262,268,289,289,209,209,261,261
77-H,NFH-2016,232,250,140,162,182,256,257,265,177,185,229,237
78-H,NFH-2016,202,250,162,162,178,266,273,293,193,213,245,265
79-H,NFH-2016,238,250,144,144,254,266,289,293,209,213,261,265
80-H,NFH-2016,232,286,162,164,254,268,293,293,213,213,265,265
81-H,NFH-2016,240,244,162,162,254,266,257,293,177,213,229,265
82-H,NFH-2016,238,238,140,162,266,266,281,293,201,213,253,265
