Oly Data																
npops = 4																
nloci = 8																
	Olur10		Olur11		Olur12		Olur13		Olur15		Olur17		Olur18		Olur19	
SS-F1_51	232	235	147	147	179	179	239	267	157	185	240	252	252	256	208	236
SS-F1_52	247	274	141	162	260	266	247	283	165	201	236	248	256	272	216	252
SS-F1_53	214	244	144	162	239	254	239	299	157	217	244	244	240	268	208	268
SS-F1_54	274	274	141	156	260	260	239	279	157	197	224	248	256	256	208	248
SS-F1_55	241	244	141	144	179	260	279	291	197	209	240	260	240	260	248	260
SS-F1_56	235	286	162	162	179	266	243	275	161	193	216	236	232	240	212	244
SS-F1_57	214	241	141	144	266	269	279	283	197	201	240	248	236	256	248	252
SS-F1_58	250	271	141	162	179	254	239	283	157	201	232	248	240	244	208	252
SS-F1_59	214	307	141	144	260	269	291	295	209	213	236	248	280	324	260	264
SS-F1_60	280	295	138	141	179	179	263	295	181	213	236	244	252	256	232	264
SS-F1_61	214	244	144	162	179	251	259	271	177	189	236	240	232	264	228	240
SS-F1_62	238	292	141	141	260	269	239	271	157	189	0	0	236	276	208	240
SS-F1_63	220	238	162	162	179	263	291	307	209	225	196	240	244	316	260	276
SS-F1_64	250	283	141	162	257	266	287	303	205	221	248	252	240	256	256	272
SS-F1_65	0	0	141	144	239	254	243	243	161	161	220	264	240	252	212	212
SS-F1_66	217	289	162	162	239	239	243	287	161	205	0	0	264	272	212	256
SS-F1_67	250	271	156	162	266	266	243	247	161	165	248	268	236	252	212	216
SS-F1_68	241	298	162	165	251	266	247	251	165	169	208	244	240	264	216	220
SS-F1_69	241	316	141	144	254	266	0	0	0	0	224	228	244	296	0	0
SS-F1_70	235	241	144	162	179	260	271	275	189	193	176	228	260	268	240	244
SS-F1_71	232	235	141	156	260	266	259	295	177	213	224	248	0	0	228	264
SS-F1_72	214	241	138	144	179	260	283	283	201	201	212	240	0	0	252	252
SS-F1_73	235	244	144	174	260	266	247	295	165	213	248	252	240	252	216	264
SS-F1_74	214	232	141	162	260	266	279	283	0	0	204	248	236	244	248	252
SS-F1_75	232	241	153	162	254	266	243	287	161	205	196	252	236	264	212	256
SS-F1_76	268	274	144	144	179	179	263	283	181	201	216	248	220	244	232	252
SS-F1_77	286	292	144	165	254	257	271	291	189	209	236	260	232	260	240	260
SS-F1_78	214	241	144	144	254	260	255	283	173	201	0	0	236	240	224	252
SS-F1_79	214	235	144	165	179	254	243	263	161	181	260	268	216	280	212	232
SS-F1_80	238	295	144	162	179	266	263	299	181	217	236	240	252	256	232	268
SS-F1_81	241	286	141	144	260	269	263	283	181	201	196	260	160	244	232	252
SS-F1_82	235	292	141	162	260	269	243	275	161	193	196	236	248	260	212	244
SS-F1_83	250	292	144	162	260	266	243	279	161	197	220	252	276	292	212	248
SS-F1_84	241	292	141	159	260	260	303	311	221	229	196	240	268	276	272	280
SS-F1_85	214	274	144	162	179	254	243	287	161	205	220	252	0	0	212	256
SS-F1_86	241	274	144	162	179	254	239	275	157	193	236	244	244	244	208	244
SS-F1_87	238	310	144	156	251	269	279	291	197	209	240	244	240	244	248	260
SS-F1_88	208	241	144	162	179	254	247	291	165	209	232	236	252	296	216	260
SS-F1_89	214	241	162	171	179	254	243	287	161	205	212	252	236	252	212	256
SS-F1_90	238	241	144	162	254	278	239	243	157	161	224	264	236	304	208	212
SS-F1_91	232	277	144	162	179	257	275	279	193	197	228	240	240	252	244	248
SS-F1_92	241	250	144	156	266	275	239	303	157	221	0	0	220	296	208	272
SS-F1_93	280	298	144	144	254	260	291	295	209	213	224	256	252	308	260	264
SS-F1_94	250	262	147	162	254	269	247	279	165	197	216	232	256	276	216	248
SS-F1_95	214	247	141	162	179	269	243	291	161	209	196	244	248	292	212	260
SS-F1_96	214	274	162	162	260	266	279	279	197	197	0	0	248	304	248	248
SS-F1_97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SS-F1_98	217	241	141	141	239	254	239	287	157	205	236	248	248	264	208	256
SS-F1_99	250	292	144	153	179	254	275	303	193	221	212	248	220	240	0	0
SS-F1_100	280	298	138	165	251	254	0	0	201	201	0	0	236	240	216	252
